date,city,center_id,total_seats,occupied_seats,daily_revenue
2024-01-01,Bengaluru,C101,100,72,36000
2024-01-02,Bengaluru,C101,100,75,37500
2024-01-03,Bengaluru,C101,100,68,34000
2024-01-04,Bengaluru,C101,100,70,35000
2024-01-05,Bengaluru,C101,100,78,39000
2024-01-01,Mumbai,C201,120,80,40000
2024-01-02,Mumbai,C201,120,78,39000
2024-01-03,Mumbai,C201,120,70,35000
2024-01-04,Mumbai,C201,120,85,42500
2024-01-05,Mumbai,C201,120,90,45000
2024-01-01,Hyderabad,C301,90,50,25000
2024-01-02,Hyderabad,C301,90,55,27500
2024-01-03,Hyderabad,C301,90,48,24000
2024-01-04,Hyderabad,C301,90,60,30000
2024-01-05,Hyderabad,C301,90,65,32500
2024-01-01,Delhi,C401,110,60,30000
2024-01-02,Delhi,C401,110,62,31000
2024-01-03,Delhi,C401,110,58,29000
2024-01-04,Delhi,C401,110,65,32500
2024-01-05,Delhi,C401,110,70,35000
