date,city,center_id,total_seats,occupied_seats,daily_revenue,occupancy_rate,revenue_per_seat
2024-01-01,Bengaluru,C101,100,72,36000,72.0,500.0
2024-01-02,Bengaluru,C101,100,75,37500,75.0,500.0
2024-01-03,Bengaluru,C101,100,68,34000,68.0,500.0
2024-01-04,Bengaluru,C101,100,70,35000,70.0,500.0
2024-01-05,Bengaluru,C101,100,78,39000,78.0,500.0
2024-01-01,Mumbai,C201,120,80,40000,66.66666666666666,500.0
2024-01-02,Mumbai,C201,120,78,39000,65.0,500.0
2024-01-03,Mumbai,C201,120,70,35000,58.333333333333336,500.0
2024-01-04,Mumbai,C201,120,85,42500,70.83333333333334,500.0
2024-01-05,Mumbai,C201,120,90,45000,75.0,500.0
2024-01-01,Hyderabad,C301,90,50,25000,55.55555555555556,500.0
2024-01-02,Hyderabad,C301,90,55,27500,61.111111111111114,500.0
2024-01-03,Hyderabad,C301,90,48,24000,53.333333333333336,500.0
2024-01-04,Hyderabad,C301,90,60,30000,66.66666666666666,500.0
2024-01-05,Hyderabad,C301,90,65,32500,72.22222222222221,500.0
2024-01-01,Delhi,C401,110,60,30000,54.54545454545454,500.0
2024-01-02,Delhi,C401,110,62,31000,56.36363636363636,500.0
2024-01-03,Delhi,C401,110,58,29000,52.72727272727272,500.0
2024-01-04,Delhi,C401,110,65,32500,59.09090909090909,500.0
2024-01-05,Delhi,C401,110,70,35000,63.63636363636363,500.0
